sum,time,diff
1,1702979416630,1
1,1702979418130,-1
3,1702979418130,1
3,1702979418204,-1
6,1702979418204,1
6,1702979419626,-1
10,1702979419626,1
10,1702979421130,-1
15,1702979421130,1
15,1702979421228,-1
21,1702979421228,1
21,1702979422626,-1
28,1702979422626,1
28,1702979424130,-1
36,1702979424130,1
36,1702979424258,-1
45,1702979424258,1
45,1702979425630,-1
55,1702979425630,1
55,1702979427128,-1
66,1702979427128,1
66,1702979427286,-1
78,1702979427286,1
78,1702979428630,-1
91,1702979428630,1
91,1702979430130,-1
105,1702979430130,1
105,1702979430312,-1
120,1702979430312,1
120,1702979431630,-1
136,1702979431630,1
