game,session,track,car,lap,start,end,time,length,valid
iRacing,1670307078,fiveflags,Chevrolet Monte Carlo SS,9,2022-12-06 01:37:43.897915+00:00,2022-12-06 01:38:01.609414+00:00,17.7408657,779,True
iRacing,1670307078,fiveflags,Chevrolet Monte Carlo SS,10,2022-12-06 01:38:01.625536+00:00,2022-12-06 01:38:19.426638+00:00,17.8180332,779,True
iRacing,1670307078,fiveflags,Chevrolet Monte Carlo SS,8,2022-12-06 01:37:26.057649+00:00,2022-12-06 01:37:43.881549+00:00,17.8456326,779,True
iRacing,1673639442,silverstone 2019 gp,Porsche Mission R,5,2023-01-13 21:10:21.878396+00:00,2023-01-13 21:12:24.870932+00:00,123.016472,5799,True
iRacing,1673639442,silverstone 2019 gp,Porsche Mission R,9,2023-01-13 21:19:35.775741+00:00,2023-01-13 21:21:38.908835+00:00,123.163971,5799,True
iRacing,1673639442,silverstone 2019 gp,Porsche Mission R,3,2023-01-13 21:07:00.004302+00:00,2023-01-13 21:09:04.527570+00:00,124.559837,5799,True
iRacing,1673606956,oxford oval,Legends Ford  34 Coupe,5,2023-01-13 05:55:53.601141+00:00,2023-01-13 05:56:10.046120+00:00,16.4827042,559,True
iRacing,1673606956,oxford oval,Legends Ford  34 Coupe,7,2023-01-13 05:56:26.667773+00:00,2023-01-13 05:56:43.175340+00:00,16.5379372,559,True
iRacing,1673608295,oxford oval,Legends Ford  34 Coupe,29,2023-01-13 06:23:39.664445+00:00,2023-01-13 06:23:56.218701+00:00,16.5866661,559,True
iRacing,1670305708,martinsville,Chevrolet National Impala,9,2022-12-06 01:04:46.807997+00:00,2022-12-06 01:05:07.274560+00:00,20.4849663,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,6,2022-12-06 01:03:44.141016+00:00,2022-12-06 01:04:04.687329+00:00,20.5512333,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,3,2022-12-06 01:01:19.241731+00:00,2022-12-06 01:01:39.853369+00:00,20.6412659,789,True
iRacing,1674812176,phoenix 2021 ovalopen,Dallara IR18,7,2023-01-27 04:45:10.345831+00:00,2023-01-27 04:45:30.250198+00:00,19.902235,1627,True
iRacing,1674812176,phoenix 2021 ovalopen,Dallara IR18,6,2023-01-27 04:44:50.363307+00:00,2023-01-27 04:45:10.313421+00:00,19.9704685,1627,True
iRacing,1674812176,phoenix 2021 ovalopen,Dallara IR18,2,2023-01-27 04:42:09.897452+00:00,2023-01-27 04:42:30.000897+00:00,20.1329346,1627,True
iRacing,1674618915,atlanta 2022 oval,Dallara IR18,8,2023-01-24 19:59:51.180468+00:00,2023-01-24 20:00:14.625977+00:00,23.4697037,2438,True
iRacing,1674618915,atlanta 2022 oval,Dallara IR18,7,2023-01-24 19:59:27.702296+00:00,2023-01-24 19:59:51.153655+00:00,23.47817,2436,True
iRacing,1674618915,atlanta 2022 oval,Dallara IR18,6,2023-01-24 19:59:04.062497+00:00,2023-01-24 19:59:27.670723+00:00,23.6230373,2437,True
iRacing,1673613841,sebring international,Ferrari 488 GT3 Evo 2020,2,2023-01-13 13:52:51.245690+00:00,2023-01-13 13:54:52.610830+00:00,121.3862,5789,True
iRacing,1673796641,sebring international,Ferrari 488 GT3 Evo 2020,2,2023-01-15 16:40:38.516341+00:00,2023-01-15 16:42:40.373043+00:00,121.873215,5783,True
iRacing,1673613841,sebring international,Ferrari 488 GT3 Evo 2020,1,2023-01-13 13:50:49.225391+00:00,2023-01-13 13:52:51.229254+00:00,122.04097,5789,True
iRacing,1673242443,spielberg gp,Porsche 911 GT3.R,22,2023-01-09 01:10:25.906372+00:00,2023-01-09 01:11:57.651856+00:00,91.7547,4279,True
iRacing,1670287161,spielberg gp,Porsche 911 GT3.R,2,2022-12-05 19:41:12.230849+00:00,2022-12-05 19:42:44.006688+00:00,91.80323,4279,True
iRacing,1673250998,spielberg gp,Porsche 911 GT3.R,5,2023-01-09 03:02:56.956107+00:00,2023-01-09 03:04:29.005586+00:00,92.0724,4279,True
iRacing,1674801425,iowa oval,NASCAR Toyota Camry,43,2023-01-27 02:04:58.338635+00:00,2023-01-27 02:05:22.276223+00:00,23.9677315,1429,True
iRacing,1674801425,iowa oval,NASCAR Toyota Camry,4,2023-01-27 01:38:41.960825+00:00,2023-01-27 01:39:06.087638+00:00,24.0737324,1427,True
iRacing,1674801425,iowa oval,NASCAR Toyota Camry,3,2023-01-27 01:38:17.872643+00:00,2023-01-27 01:38:41.929590+00:00,24.0856647,1429,True
iRacing,1673646857,daytona 2011 road,BMW M8 GTE,1,2023-01-13 16:58:18.494022+00:00,2023-01-13 17:00:06.265504+00:00,107.825935,5688,True
iRacing,1673656308,daytona 2011 road,BMW M8 GTE,4,2023-01-13 19:37:33.868961+00:00,2023-01-13 19:39:22.225326+00:00,108.375832,5688,True
iRacing,1673656308,daytona 2011 road,BMW M8 GTE,6,2023-01-13 19:41:12.084972+00:00,2023-01-13 19:43:00.527451+00:00,108.4808,5689,True
iRacing,1674131628,lagunaseca,Formula Vee,2,2023-01-19 13:37:41.537644+00:00,2023-01-19 13:39:25.204492+00:00,103.690865,3569,True
iRacing,1674132234,lagunaseca,Formula Vee,6,2023-01-19 13:54:09.318354+00:00,2023-01-19 13:55:53.121562+00:00,103.8183,3569,True
iRacing,1674132234,lagunaseca,Formula Vee,3,2023-01-19 13:48:49.741816+00:00,2023-01-19 13:50:33.550911+00:00,103.841736,3569,True
iRacing,1673260198,silverstone 2019 gp,BMW M Hybrid V8,3,2023-01-09 11:38:00.872990+00:00,2023-01-09 11:39:47.919924+00:00,107.067467,5799,True
iRacing,1673261371,silverstone 2019 gp,BMW M Hybrid V8,2,2023-01-09 11:55:47.502690+00:00,2023-01-09 11:57:34.564572+00:00,107.09433,5799,True
iRacing,1673260198,silverstone 2019 gp,BMW M Hybrid V8,2,2023-01-09 11:36:13.295811+00:00,2023-01-09 11:38:00.856129+00:00,107.5862,5799,True
iRacing,1670220597,dover,NASCAR Toyota Camry,31,2022-12-05 01:30:47.771760+00:00,2022-12-05 01:31:11.105324+00:00,23.3191319,1638,True
iRacing,1670220597,dover,NASCAR Toyota Camry,30,2022-12-05 01:30:24.528532+00:00,2022-12-05 01:30:47.770056+00:00,23.3399982,1637,True
iRacing,1670220597,dover,NASCAR Toyota Camry,32,2022-12-05 01:31:11.128313+00:00,2022-12-05 01:31:34.483977+00:00,23.3807316,1637,True
iRacing,1673701012,donington national,Hyundai Elantra N TC,4,2023-01-14 04:59:22.247569+00:00,2023-01-14 05:00:35.920439+00:00,73.7132339,3159,True
iRacing,1673701012,donington national,Hyundai Elantra N TC,5,2023-01-14 05:00:35.947255+00:00,2023-01-14 05:01:49.787200+00:00,73.88447,3159,True
iRacing,1673701012,donington national,Hyundai Elantra N TC,9,2023-01-14 05:05:34.215071+00:00,2023-01-14 05:06:48.141342+00:00,73.9640656,3159,True
iRacing,1673690785,wildwest full,Lucas Oil Off-Road Racing Series Pro-2 Lite,1,2023-01-14 11:13:58.295038+00:00,2023-01-14 11:14:56.774785+00:00,58.50228,1399,True
iRacing,1673690785,wildwest full,Lucas Oil Off-Road Racing Series Pro-2 Lite,3,2023-01-14 11:15:57.128726+00:00,2023-01-14 11:16:56.438106+00:00,59.339447,1399,True
iRacing,1673690785,wildwest full,Lucas Oil Off-Road Racing Series Pro-2 Lite,4,2023-01-14 11:16:56.454531+00:00,2023-01-14 11:17:55.889012+00:00,59.46195,1399,True
iRacing,1670224288,spa combined,BMW M4 GT3,15,2022-12-05 00:48:39.546522+00:00,2022-12-05 00:50:56.148998+00:00,136.630875,6928,True
iRacing,1670224288,spa combined,BMW M4 GT3,21,2022-12-05 01:02:24.154230+00:00,2022-12-05 01:04:40.895582+00:00,136.779877,6929,True
iRacing,1670224288,spa combined,BMW M4 GT3,23,2022-12-05 01:06:57.921954+00:00,2022-12-05 01:09:14.760057+00:00,136.85054,6929,True
iRacing,1670310870,atlanta 2022 oval,NASCAR Chevrolet Camaro ZL1,12,2022-12-06 02:20:22.436016+00:00,2022-12-06 02:20:52.846083+00:00,30.4375324,2438,True
iRacing,1670310870,atlanta 2022 oval,NASCAR Chevrolet Camaro ZL1,113,2022-12-06 03:22:08.380343+00:00,2022-12-06 03:22:38.790676+00:00,30.4455,2437,True
iRacing,1670310870,atlanta 2022 oval,NASCAR Chevrolet Camaro ZL1,9,2022-12-06 02:18:50.714481+00:00,2022-12-06 02:19:21.148761+00:00,30.4551334,2438,True
iRacing,1673353421,phoenix oval,Indy Pro 2000 PM-18,6,2023-01-10 04:27:52.269869+00:00,2023-01-10 04:28:18.570643+00:00,26.3012829,1618,True
iRacing,1673353421,phoenix oval,Indy Pro 2000 PM-18,10,2023-01-10 04:29:38.367084+00:00,2023-01-10 04:30:04.684397+00:00,26.3412819,1619,True
iRacing,1673353421,phoenix oval,Indy Pro 2000 PM-18,9,2023-01-10 04:29:12.008823+00:00,2023-01-10 04:29:38.337995+00:00,26.3593483,1619,True
iRacing,1674099843,darlington,NASCAR Chevrolet Camaro ZL1,1,2023-01-18 22:44:57.418320+00:00,2023-01-18 22:45:28.568758+00:00,31.1797314,2108,True
