game,session,track,car,lap,start,end,time,length,valid
iRacing,1670846922,nurburgring nordschleife,Porsche 911 GT3 Cup (992),1,2022-12-12 13:08:41.738088+00:00,2022-12-12 13:16:50.633057+00:00,488.915344,20638,True
Assetto Corsa (64 bit),1670215352,simtraxx_zeran:rally1,porsche_550_1500_rs_spyder_s1,1,2022-12-05 05:47:12.904425+00:00,2022-12-05 05:51:36.640604+00:00,234.88501,2556,True
Assetto Corsa (64 bit),1671529002,alps:club,l26_a110_2017,1,2022-12-20 10:36:48.512507+00:00,2022-12-20 10:40:17.505847+00:00,106.848,3975,True
Assetto Corsa (64 bit),1671529002,alps:club,l26_a110_2017,3,2022-12-20 10:40:17.620345+00:00,2022-12-20 10:42:04.458765+00:00,106.911,3974,True
Assetto Corsa (64 bit),1671529002,alps:club,l26_a110_2017,4,2022-12-20 10:42:04.571125+00:00,2022-12-20 10:43:53.462909+00:00,108.969,3973,True
Automobilista 2,1670871025,Kyalami:Kyalami_Historic,Chevrolet Corvette C8.R,3,2022-12-12 19:54:18.226970+00:00,2022-12-12 19:55:33.464988+00:00,63.887207,4044,True
Automobilista 2,1670871025,Kyalami:Kyalami_Historic,Chevrolet Corvette C8.R,2,2022-12-12 19:53:02.610454+00:00,2022-12-12 19:54:18.116995+00:00,64.19141,4047,True
iRacing,1670222575,pocono 2016,Dallara IR18,5,2022-12-05 00:47:28.946740+00:00,2022-12-05 00:48:10.775410+00:00,41.8777,4027,True
iRacing,1670222575,pocono 2016,Dallara IR18,3,2022-12-05 00:46:04.731537+00:00,2022-12-05 00:46:46.682157+00:00,41.9890022,4028,True
iRacing,1670222575,pocono 2016,Dallara IR18,11,2022-12-05 00:55:38.256541+00:00,2022-12-05 00:56:20.295182+00:00,42.0762329,4028,True
iRacing,1670222575,pocono 2016,Dallara IR18,8,2022-12-05 00:51:29.118578+00:00,2022-12-05 00:52:11.261914+00:00,42.1925,4027,True
iRacing,1670222575,pocono 2016,Dallara IR18,4,2022-12-05 00:46:46.712812+00:00,2022-12-05 00:47:28.912569+00:00,42.2391357,4029,True
iRacing,1670222575,pocono 2016,Dallara IR18,9,2022-12-05 00:52:11.292523+00:00,2022-12-05 00:52:53.564076+00:00,42.2959023,4029,True
iRacing,1670222575,pocono 2016,Dallara IR18,7,2022-12-05 00:50:46.791907+00:00,2022-12-05 00:51:29.084208+00:00,42.3185349,4029,True
iRacing,1670222575,pocono 2016,Dallara IR18,2,2022-12-05 00:45:22.192150+00:00,2022-12-05 00:46:04.700077+00:00,42.5260658,4028,True
iRacing,1670222575,pocono 2016,Dallara IR18,1,2022-12-05 00:44:39.239500+00:00,2022-12-05 00:45:22.161578+00:00,42.9634323,4027,True
iRacing,1670222575,pocono 2016,Dallara IR18,10,2022-12-05 00:52:53.590339+00:00,2022-12-05 00:53:40.530247+00:00,46.9424324,4030,True
iRacing,1670305708,martinsville,Chevrolet National Impala,9,2022-12-06 01:04:46.807997+00:00,2022-12-06 01:05:07.274560+00:00,20.4849663,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,6,2022-12-06 01:03:44.141016+00:00,2022-12-06 01:04:04.687329+00:00,20.5512333,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,3,2022-12-06 01:01:19.241731+00:00,2022-12-06 01:01:39.853369+00:00,20.6412659,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,10,2022-12-06 01:05:07.290615+00:00,2022-12-06 01:05:27.925139+00:00,20.6617661,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,7,2022-12-06 01:04:04.703189+00:00,2022-12-06 01:04:25.407386+00:00,20.7258,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,1,2022-12-06 01:00:36.723184+00:00,2022-12-06 01:00:57.796407+00:00,21.1135,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,12,2022-12-06 01:06:42.965843+00:00,2022-12-06 01:07:04.161017+00:00,21.2252674,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,8,2022-12-06 01:04:25.424086+00:00,2022-12-06 01:04:46.792135+00:00,21.3883343,789,True
iRacing,1670305708,martinsville,Chevrolet National Impala,2,2022-12-06 01:00:57.811905+00:00,2022-12-06 01:01:19.225434+00:00,21.435133,789,True
iRacing,1670308279,vegas oval,Dallara IR18,14,2022-12-06 00:41:27.412891+00:00,2022-12-06 00:41:52.254468+00:00,24.8823643,2449,True
iRacing,1670308279,vegas oval,Dallara IR18,15,2022-12-06 00:41:52.285614+00:00,2022-12-06 00:42:17.192332+00:00,24.9402981,2448,True
iRacing,1670308279,vegas oval,Dallara IR18,1,2022-12-06 00:32:45.347808+00:00,2022-12-06 00:33:10.277016+00:00,24.9574986,2448,True
iRacing,1670308279,vegas oval,Dallara IR18,2,2022-12-06 00:33:10.308469+00:00,2022-12-06 00:33:35.332374+00:00,25.0391312,2448,True
iRacing,1670308279,vegas oval,Dallara IR18,13,2022-12-06 00:41:02.374100+00:00,2022-12-06 00:41:27.382326+00:00,25.0415974,2448,True
iRacing,1670308279,vegas oval,Dallara IR18,4,2022-12-06 00:34:00.554933+00:00,2022-12-06 00:34:25.723194+00:00,25.1932316,2448,True
iRacing,1670308279,vegas oval,Dallara IR18,3,2022-12-06 00:33:35.361566+00:00,2022-12-06 00:34:00.519132+00:00,25.200098,2449,True
iRacing,1670308279,vegas oval,Dallara IR18,11,2022-12-06 00:36:57.816705+00:00,2022-12-06 00:37:23.033431+00:00,25.2348976,2447,True
iRacing,1670308279,vegas oval,Dallara IR18,10,2022-12-06 00:36:32.535900+00:00,2022-12-06 00:36:57.784808+00:00,25.2845974,2446,True
iRacing,1670308279,vegas oval,Dallara IR18,9,2022-12-06 00:36:07.233176+00:00,2022-12-06 00:36:32.504159+00:00,25.2876644,2448,True
iRacing,1671640774,atlanta rallycross long,Volkswagen Beetle GRC Lite,2,2022-12-21 17:43:06.198067+00:00,2022-12-21 17:43:42.395181+00:00,36.2069321,1520,True
iRacing,1670324692,eldora,Dirt UMP Modified,6,2022-12-06 03:09:14.110374+00:00,2022-12-06 03:09:37.539834+00:00,23.4383926,709,True
iRacing,1670324692,eldora,Dirt UMP Modified,4,2022-12-06 03:08:30.086247+00:00,2022-12-06 03:08:56.839956+00:00,26.7920933,709,True
Assetto Corsa (64 bit),1670610257,monza:,rss_formula_hybrid_2022_s,6,2022-12-09 19:36:41.901088+00:00,2022-12-09 19:38:05.654081+00:00,83.841,5757,True
Assetto Corsa (64 bit),1670610257,monza:,rss_formula_hybrid_2022_s,1,2022-12-09 19:28:07.950356+00:00,2022-12-09 19:29:34.814717+00:00,86.85899,5757,True
iRacing,1670238596,southernnational,Street Stock,1,2022-12-05 03:09:58.864145+00:00,2022-12-05 03:10:16.044023+00:00,20.2460327,569,True
iRacing,1670242083,southernnational,Street Stock,34,2022-12-05 04:17:10.108011+00:00,2022-12-05 04:17:30.611759+00:00,20.5248661,568,True
iRacing,1670238097,southernnational,Street Stock,1,2022-12-05 03:02:02.627455+00:00,2022-12-05 03:02:24.709673+00:00,22.23307,569,True
iRacing,1670237631,southernnational,Street Stock,16,2022-12-05 02:59:17.660828+00:00,2022-12-05 02:59:48.773837+00:00,23.7873745,569,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,7,2022-12-21 15:27:52.246698+00:00,2022-12-21 15:29:13.392711+00:00,81.6318359,3025,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,6,2022-12-21 15:26:29.956232+00:00,2022-12-21 15:27:52.104147+00:00,82.1447754,3025,True
Automobilista 2,1671635295,Cascavel4:Cascavel2,Mercedes-Benz Actros,6,2022-12-21 15:15:11.367670+00:00,2022-12-21 15:16:33.106960+00:00,82.1582,3025,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,10,2022-12-21 15:31:58.203686+00:00,2022-12-21 15:33:19.847564+00:00,82.177,3025,True
Automobilista 2,1671635295,Cascavel4:Cascavel2,Mercedes-Benz Actros,3,2022-12-21 15:11:05.415395+00:00,2022-12-21 15:12:26.904241+00:00,82.28088,3026,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,5,2022-12-21 15:25:08.232670+00:00,2022-12-21 15:26:29.830015+00:00,82.31616,3028,True
Automobilista 2,1671635969,Cascavel4:Cascavel2,Mercedes-Benz Actros,14,2022-12-21 15:37:29.590042+00:00,2022-12-21 15:38:51.192506+00:00,82.47119,3026,True
Automobilista 2,1671633609,Cascavel4:Cascavel2,Mercedes-Benz Actros,2,2022-12-21 14:43:28.901393+00:00,2022-12-21 14:44:50.274747+00:00,82.543396,3029,True
Automobilista 2,1671635295,Cascavel4:Cascavel2,Mercedes-Benz Actros,5,2022-12-21 15:13:49.190618+00:00,2022-12-21 15:15:11.221950+00:00,82.5834961,3025,True
Automobilista 2,1671634491,Cascavel4:Cascavel2,Mercedes-Benz Actros,4,2022-12-21 15:00:46.869449+00:00,2022-12-21 15:02:09.541879+00:00,82.6084,3029,True
Automobilista 2,1671627500,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,3,2022-12-21 13:02:42.514574+00:00,2022-12-21 13:04:50.421656+00:00,86.72925,4294,True
Automobilista 2,1671627500,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,6,2022-12-21 13:09:01.601583+00:00,2022-12-21 13:11:06.879156+00:00,87.20239,4294,True
Automobilista 2,1671625328,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,3,2022-12-21 12:29:46.522207+00:00,2022-12-21 12:31:52.931160+00:00,88.07178,4294,True
Automobilista 2,1671625328,Interlagos:Interlagos_SCB,Mercedes-Benz Actros,6,2022-12-21 12:40:56.155358+00:00,2022-12-21 12:43:02.158143+00:00,88.0918,4294,True
